count,time_s,lux,press,temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
91,1.350368,100.527061,1011.571533,29.71875,0.444092,0.902039,1.454102,24.891352,-27.608406,22.576523,-42.242523,26.853708,-268.018921
92,1.362975,88.109215,1011.590576,29.71875,0.481201,0.899597,1.336426,22.572016,-34.932625,25.750351,-71.968742,34.751858,-281.647003
93,1.375588,83.202011,1011.568848,29.71875,0.529541,1.049011,1.36377,1.575922,-12.410652,62.005234,-40.677982,31.592598,-281.647003
94,1.390278,83.202011,1011.59375,29.71875,0.51001,1.056335,1.490723,-11.546637,26.834953,97.58873,-59.452438,41.070374,-275.590088
95,1.402878,83.202011,1011.573486,29.71875,0.530029,0.946472,1.562988,-9.288336,23.783195,107.598495,-50.065212,22.114817,-275.590088
96,1.415482,83.202011,1011.575195,29.71875,0.580322,0.894714,1.696777,3.468012,4.19091,111.748886,-42.242523,36.331486,-274.075836
97,1.430175,83.202011,1011.584961,29.71875,0.545654,0.854675,1.727539,14.637445,-14.180672,99.541855,-48.500675,39.490746,-264.990448
98,1.442778,83.202011,1011.561523,29.71875,0.474365,0.851746,1.733398,15.552973,-19.063484,90.325546,-31.290758,37.911118,-257.419312
99,1.455389,83.202011,1011.613037,29.71875,0.467529,0.819031,1.640625,11.341547,-12.410652,85.86998,-18.774454,31.592598,-269.533142
100,1.467995,83.202011,1011.584961,29.71875,0.4646,0.780945,1.603516,14.149164,-9.297859,78.484726,-32.855293,39.490746,-261.961975
101,1.482688,83.202011,1011.587402,29.71875,0.455322,0.784363,1.569824,10.853266,-5.208504,71.160507,-28.161682,50.548157,-257.419312
102,1.495279,83.202011,1011.623291,29.71875,0.466064,0.803406,1.464844,12.745356,-14.974129,79.095078,-26.597143,33.172226,-264.990448
103,1.507879,83.202011,1011.636475,29.71875,0.527588,0.902039,1.504883,6.824945,-9.847176,116.021347,-31.290758,37.911118,-266.504669
104,1.520461,83.202011,1011.614258,29.71875,0.48999,0.899597,1.540039,10.487055,-1.60743,144.402695,-28.161682,37.911118,-254.390823
105,1.535204,83.202011,1011.630127,29.71875,0.451416,0.89325,1.610352,16.712641,-3.316414,152.886581,-25.032606,41.070374,-254.390823
106,1.580124,83.202011,1011.597168,29.71875,0.514404,0.839539,1.671875,27.698969,-59.712898,86.053085,-10.951765,26.853708,-249.848145
